DA_Number,Detail_URL,Description,Submitted_Date,Decision,Categories,Property_Address,Applicant,Progress,Fees,Documents,Contact_Council
PCD25/1535,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=732614&propkey=78731,,,,,"134 Old Southern Rd, WORRIGEE",,,,,
PCD25/1537,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=732618&propkey=1003906,,,,,"71 Patrina Cct, ST GEORGES BASIN",,,,,
PCD25/1539,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=732627&propkey=1004459,,,,,"24 Sabre St, BADAGARANG",,,,,
PCD25/1541,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=732657&propkey=1005297,,,,,"68 Wirraway Bvd, BADAGARANG",,,,,
PCD25/1543,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=732693&propkey=19125,,,,,"13 Woodglen Cr, MOLLYMOOK BEACH",,,,,
PCD25/1545,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=732776&propkey=1004446,,,,,"19 Sabre St, BADAGARANG",,,,,
PCD25/1547,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=732832&propkey=87135,,,,,"72 Bennett Pl, WORRIGEE",,,,,
PCD25/1549,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=732886&propkey=1005327,,,,,"27 Corymbia Way, BADAGARANG",,,,,
PCD25/1551,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=732912&propkey=1005513,,,,,"100 Lancaster Dr, BADAGARANG",,,,,
PCD25/1553,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=732956&propkey=92684,,,,,"41 Hewitt Av, ST GEORGES BASIN",,,,,
PCD25/1555,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=733027&propkey=25906,,,,,"41 Mercury Dr, LAKE TABOURIE",,,,,
PCD25/1557,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=733036&propkey=1005295,,,,,"72 Wirraway Bvd, BADAGARANG",,,,,
PCD25/1559,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=733118&propkey=2605,,,,,"16 Allerton Av, CULBURRA BEACH",,,,,
PCD25/1561,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=733194&propkey=5153,,,,,"30 Albert St, BERRY",,,,,
PCD25/1563,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=733256&propkey=2456,,,,,"21 King St, BERRY",,,,,
PCD25/1565,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=733368&propkey=96023,,,,,"15 Tom Thumb Av, SOUTH NOWRA",,,,,
PCD25/1567,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=733399&propkey=2417,,,,,"57 Victoria St, BERRY",,,,,
PCD25/1569,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=733410&propkey=1004918,,,,,"19 Sunningdale Av, SUSSEX INLET",,,,,
PCD25/1571,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=733427&propkey=18210,,,,,"55 Donlan Rd, MOLLYMOOK BEACH",,,,,
PCD25/1573,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=733442&propkey=26845,,,,,"35 Jones Av, MOLLYMOOK BEACH",,,,,
PCD25/1575,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=733505&propkey=1005282,,,,,"36 Myrtle Drive, BADAGARANG",,,,,
PCD25/1577,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=733534&propkey=1005527,,,,,"8 Altitude St, BADAGARANG",,,,,
PCD25/1579,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=733543&propkey=1005528,,,,,"6 Altitude St, BADAGARANG",,,,,
PCD25/1581,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=733546&propkey=1005514,,,,,"98 Lancaster Dr, BADAGARANG",,,,,
PCD25/1583,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=733559&propkey=1005552,,,,,"68 Lancaster Dr, BADAGARANG",,,,,
PCD25/1585,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=733576&propkey=1004434,,,,,"18 Altitude St, BADAGARANG",,,,,
PCD25/1587,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=733627&propkey=91738,,,,,"20 Kinghorne St, NOWRA",,,,,
PCD25/1589,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=733724&propkey=1004279,,,,,"8 Gipsy Moth St, BADAGARANG",,,,,
PCD25/1591,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=733784&propkey=1002684,,,,,"7 Clover Ct, CAMBEWARRA VILLAGE",,,,,
PCD25/1593,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=733789&propkey=6309,,,,,"15 Collett Pl, ST GEORGES BASIN",,,,,
PCD25/1595,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=733830&propkey=1003518,,,,,"15 Hilder Cl, MILTON",,,,,
PCD25/1597,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=733834&propkey=47609,,,,,"8 Bimbimbie Av, BANGALEE",,,,,
